,Overall Pick,Teams,year,College,Seasons in NBA,# Games,Minutes Played,Points,Total Rebounds,Assists,Field Goal %,3 Point Field Goal %,Free Throw %,Minutes Played per Game,Points per Game,Total Rebounds per Game,Assists per Game,Win Shares,Win Shares per 48 Minutes,Box +-,VORP,Height,Weight,First Position
293,30,GSW,2015,UCLA,7,335,5331,1534,1524,415,.562,.172,.618,15.9,4.6,4.5,1.2,17.8,.160,-0.5,2.0,207.12545454545457,100.697424,Center
294,32,HOU,2015,Louisville,7,429,9246,5553,2291,586,.619,.122,.659,21.6,12.9,5.3,1.4,38.6,.200,3.0,11.5,201.12181818181818,108.86207999999999,Center
295,33,BOS,2015,LSU,3,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3,204.12363636363636,106.59412,Power Forward
296,34,LAL,2015,Stanford,3,41,762,161,103,28,.328,.286,.850,18.6,3.9,2.5,0.7,-0.2,-.016,-5.1,-0.6,201.12181818181818,95.25431999999999,Small Forward
297,37,PHI,2015,Bowling Green,7,364,7705,3539,2118,394,.608,.257,.746,21.2,9.7,5.8,1.1,26.6,.166,0.6,5.1,183.11090909090908,106.59412,Center
298,38,DET,2015,Villanova,3,91,859,295,85,71,.377,.304,.747,9.4,3.2,0.9,0.8,0.3,.016,-4.7,-0.6,198.12,92.98636,Shooting Guard
299,40,MIA,2015,Tennessee,7,412,12403,4983,1299,1116,.428,.361,.833,30.1,12.1,3.2,2.7,22.5,.087,-0.5,4.7,195.11818181818182,90.7184,Shooting Guard
300,41,BRK,2015,Notre Dame,7,401,7372,2329,1338,505,.448,.366,.791,18.4,5.8,3.3,1.3,17.5,.114,0.0,3.7,195.11818181818182,94.80072799999999,Shooting Guard
301,43,IND,2015,Oregon,3,127,1077,429,130,119,.393,.296,.768,8.5,3.4,1.0,0.9,0.4,.016,-4.1,-0.6,186.11272727272728,81.64656,Point Guard
302,44,PHO,2015,Kentucky,3,145,2987,1012,287,399,.373,.294,.779,20.6,7.0,2.0,2.8,3.2,.051,-2.8,-0.6,198.12,96.615096,Point Guard
303,46,MIL,2015,UCLA,7,414,9220,4622,1064,608,.462,.381,.831,22.3,11.2,2.6,1.5,19.1,.099,-0.2,4.1,189.11454545454546,97.52228,Shooting Guard
